Round,Team1,Team1-Fanpoints,Team1-Score,Team1-Match-Bonus,Team1-MatchTotal,Team2,Team2-Fanpoints,Team2-Score,Team2-Match-Bonus,Team2-MatchTotal
5,Papampatti,927,2,0,2,Chicago T20,760,0,0,0
5,IPL-T20-21,1595,2,0,2,Kill Killi,1040,0,0,0
5,I'm in,937,2,0,2,SecondDose,857,0,0,0
5,Royapuram,472,2,0,2,Dummy,0,0,0,0
5,Marauders,1110,2,0,2,Daddy Munnetra Kalagam,783,0,0,0
5,PK11,292,2,0,2,Bhagavath,0,0,0,0
